;buyer;count;;
436;GOTEBORGS BOTANISKA TR,GOTEBORG,SE;56;;
437;LIDL 274/GBG FROLUNDA,GOTEBORG,SE;56;;
438;PARKERINGSBOLAGET,GOTEBORG,SE;56;;
439;ECO & FAIR,GOTEBORG,SE;56;;
440;PARKERINGSBOLAGET,GOTEBORG,SE;56;;
441;Fredrik Moberg;56;;
442;Mat;56;;
443;Fredrik Moberg;55;;
444;GOOGLE *Google Play Ap,g.co/HelpPay#,IE;55;;
445;ICA KVANTUM HOVAS,HOVAS,SE;55;;
446;STORA COOP SISJÖN,ASKIM,SE;55;;
447;Spotify P109911445,Stockholm,SE;55;;
448;MR GATSBY PIZZERIA,Askim,SE;55;;
449;RUSTA SISJON 46,ASKIM,SE;55;;
450;BAUHAUS SISJON,VESTRA FROLUN,SE;55;;
451;BAUHAUS SISJON,VESTRA FROLUN,SE;55;;
452;RESTAURANG GREENS,VESTRA FROLUN,SE;55;;
453;BAUHAUS SISJON,VESTRA FROLUN,SE;55;;
454;FLUGGER AB S027,Askim,SE;55;;
455;iZ *Boguro AB,GOTEBORG,SE;54;;
456;CIRCLE K GOTEBORG HJAL,GOTEBORG,SE;54;;
457;PARKERINGSBOLAGET,GOTEBORG,SE;54;;
458;STORA COOP SISJÖN,ASKIM,SE;54;;
459;BAUHAUS SISJON,VESTRA FROLUN,SE;53;;
460;BAUHAUS SISJON,VESTRA FROLUN,SE;53;;
461;STORA COOP SISJÖN,ASKIM,SE;53;;
462;GOOGLE *Google Play Ap,g.co/HelpPay#,IE; Malling Borough Council;53;
463;STORA COOP SISJON,ASKIM,SE;53;;
464;BAUHAUS SISJON,VESTRA FROLUN,SE;52;;
465;FLÄKTPLATTA;52;;
466;MAT WILLY;52;;
467;MAT VIRSERUM;52;;
468;ICA KVANTUM FROLUNDA,VASTRA FROLUN,SE;52;;
469;MR GATSBY PIZZERIA,ASKIM,SE;52;;
470;PA SPARET,VIMMERBY,SE;52;;
471;MICROSOFT*MICROSOFT 365 P,MSBILL.INFO,IE;52;;
472;Vasttrafik AB,Goteborg,SE; Rescue Service;52;
473;NYA*Toalett,46031920985,SE;52;;
474;7-ELEVEN 4324101,GOTEBORG,SE;52;;
475;7-ELEVEN 4324101,GOTEBORG,SE;52;;
476;ESPRESSO HOUSE 317,NASSJO,SE;51;;
477;ICA NARA KRYSSET  VIRSERU,VIRSERUM,SE;51;;
478;ICA NARA KRYSSET  VIRSERU,VIRSERUM,SE;51;;
479;PRESSBYRAN 4128810,GOTEBORG,SE;S ORGANISATION;51;
480;PRALINEHUSET H.R AB,GOTEBORG,SE;51;;
481;BURGER KING JAR,GOTEBORG,SE;51;;
482;TAXI GOTEBORG,GOTEBORG,SE;51;;
483;APOTEKSHOP CENTRALEN,GOETEBORG,SE; TRANSPLANT;50;
484;Taxi;50;;
485;Conpeed apotek;50;;
486;Presenter;50;;
487;STORA COOP SISJON,ASKIM,SE;50;;
488;AKADEMIBOKHANDE,GOTEBORG,SE;49;;
489;AKADEMIBOKHANDE,VASTRA FROLU,SE;49;;
490;AKADEMIBOKHANDE,VASTRA FROLU,SE;49;;
491;KICKS V FROELUNDA,VAESTRA FROEL,SE;49;;
492;Mobil;49;;
493;Mat;49;;
494;JOHN SCOTT'S,MOLNDAL,SE;49;;
495;JOHN SCOTT'S,MOLNDAL,SE;48;;
496;JOHN SCOTT'S,MOLNDAL,SE;48;;
497;KJELL & CO 51,VASTRA FROLUN,SE;48;;
498;MR GATSBY PIZZERIA,ASKIM,SE;48;;
499;NETFLIX.COM,Amsterdam,NL;47;;
500;HALLON.SE,STOCKHOLM,SE;47;;
501;HALLON.SE,STOCKHOLM,SE;47;;
502;BAUHAUS; WEST NORFOLK BOROUGH COUNCIL;47;
503;MAT WILLYS;47;;
504;BAUHAUS SISJON,VESTRA FROLUN,SE;47;;
505;MCDONALDS MOLND,MOLNDAL,SE;47;;
506;PARKERINGSBOLAGET,GOTEBORG,SE;47;;
507;PREEM,ASKIM,SE;s Office;47;
508;Överf ISK;46;;
509;Överf ISK;46;;
